INDICATION,METRIC,PRODUCT,ROW_TYPE,NON_APPROVED_FLAG,MONTH_DATE,TRX_VOLUME
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-11-01,86953.981867
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2023-12-01,82587.116644
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-01-01,85581.193125
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-02-01,80879.542566
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-03-01,80230.323847
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-04-01,87968.225114
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-05-01,86825.263487
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-06-01,83161.786793
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-07-01,92190.45088
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-08-01,86698.613141
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-09-01,87382.28234
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-10-01,96541.113884
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-11-01,83085.570126
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2024-12-01,95606.432484
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-01-01,88406.83587
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-02-01,84169.961838
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-03-01,91656.051545
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-04-01,93897.129504
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-05-01,91079.433197
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-06-01,96707.390007
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-07-01,99459.826205
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-08-01,93856.983563
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-09-01,102100.438064
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-10-01,102674.143258
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-11-01,92123.510383
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2025-12-01,109241.874055
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2026-01-01,92439.431007
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2026-02-01,93126.501948
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2026-03-01,104437.327052
RA / JIA,TRx Volume,ENBREL,PRODUCT,N,2026-04-01,99161.425632
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2020-05-01,2118.903497
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2020-06-01,2456.519348
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2020-07-01,2307.968657
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2020-08-01,2365.339601
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2020-09-01,2410.829053
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2020-10-01,2346.499881
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2020-11-01,2372.118283
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2020-12-01,2650.865059
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-01-01,2202.332412
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-02-01,2462.112269
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-03-01,2856.894194
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-04-01,2589.109872
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-05-01,2369.616254
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-06-01,2660.829116
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-07-01,2317.457618
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-08-01,2494.536
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-09-01,2616.286696
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-10-01,2507.761523
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-11-01,2633.441801
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2021-12-01,2488.168856
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-01-01,2436.134242
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-02-01,2237.321102
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-03-01,2484.269506
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-04-01,2232.25895
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-05-01,2343.257643
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-06-01,2364.348457
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-07-01,2155.641046
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-08-01,2505.358332
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-09-01,2391.905432
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-10-01,2368.23111
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-11-01,2238.724271
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2022-12-01,2145.99731
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-01-01,2123.265353
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-02-01,2001.73537
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-03-01,2288.702553
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-04-01,2125.554832
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-05-01,2313.823778
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-06-01,2275.118655
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-07-01,2071.733654
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-08-01,2337.963443
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-09-01,2051.426759
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-10-01,2246.807689
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-11-01,2266.705975
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2023-12-01,2092.335946
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-01-01,2130.839035
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-02-01,1996.402171
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-03-01,2131.292156
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-04-01,2291.153618
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-05-01,2363.681311
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-06-01,2170.525523
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-07-01,2407.528984
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-08-01,2364.81246
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-09-01,2289.344175
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-10-01,2093.71021
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-11-01,2131.031892
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2024-12-01,2449.285134
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-01-01,2210.637613
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-02-01,2396.325814
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-03-01,2591.443036
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-04-01,2598.096362
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-05-01,2546.421635
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-06-01,2595.019278
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-07-01,2675.004403
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-08-01,2589.365213
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-09-01,2692.319729
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-10-01,2813.598111
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-11-01,2534.727426
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2025-12-01,3086.662465
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2026-01-01,2383.982951
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2026-02-01,2798.209915
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2026-03-01,2989.360689
RA / JIA,TRx Volume,Kineret,PRODUCT,N,2026-04-01,3099.805844
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2020-05-01,16092.628498
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2020-06-01,20622.020979
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2020-07-01,18498.65176
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2020-08-01,18813.282932
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2020-09-01,17832.179534
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2020-10-01,17896.043982
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2020-11-01,18080.231308
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2020-12-01,19217.133221
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-01-01,18006.036347
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-02-01,18087.572243
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-03-01,20223.0314
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-04-01,19222.284736
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-05-01,19566.008555
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-06-01,20764.066711
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-07-01,19771.718459
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-08-01,21210.828885
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-09-01,21299.754456
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-10-01,20804.818875
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-11-01,21558.614279
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2021-12-01,21811.232343
RA / JIA,TRx Volume,Cimzia,PRODUCT,N,2022-01-01,20401.877803
