hcp_id,week_ending,product,trx,nrx
HCP004,2026-01-17,PRODUCT_A,12,2
HCP004,2026-01-17,COMPETITOR_X,11,4
HCP005,2026-01-17,PRODUCT_A,3,3
HCP005,2026-01-17,COMPETITOR_X,11,4
HCP006,2026-01-17,PRODUCT_A,9,1
HCP006,2026-01-17,COMPETITOR_X,17,3
HCP007,2026-01-17,PRODUCT_A,11,8
HCP007,2026-01-17,COMPETITOR_X,9,1
HCP008,2026-01-17,PRODUCT_A,9,3
HCP008,2026-01-17,COMPETITOR_X,7,3
HCP009,2026-01-17,PRODUCT_A,2,0
HCP009,2026-01-17,COMPETITOR_X,11,2
HCP010,2026-01-17,PRODUCT_A,6,4
HCP010,2026-01-17,COMPETITOR_X,14,4
HCP001,2026-01-24,PRODUCT_A,12,1
HCP001,2026-01-24,COMPETITOR_X,11,3
HCP002,2026-01-24,PRODUCT_A,4,2
HCP002,2026-01-24,COMPETITOR_X,12,1
HCP003,2026-01-24,PRODUCT_A,8,1
HCP003,2026-01-24,COMPETITOR_X,10,4
HCP004,2026-01-24,PRODUCT_A,4,1
HCP004,2026-01-24,COMPETITOR_X,15,3
HCP005,2026-01-24,PRODUCT_A,2,2
HCP005,2026-01-24,COMPETITOR_X,11,3
HCP006,2026-01-24,PRODUCT_A,7,3
HCP006,2026-01-24,COMPETITOR_X,12,2
HCP007,2026-01-24,PRODUCT_A,9,7
HCP007,2026-01-24,COMPETITOR_X,10,3
HCP008,2026-01-24,PRODUCT_A,5,1
HCP008,2026-01-24,COMPETITOR_X,10,1
HCP009,2026-01-24,PRODUCT_A,7,3
HCP009,2026-01-24,COMPETITOR_X,15,6
HCP010,2026-01-24,PRODUCT_A,8,1
HCP010,2026-01-24,COMPETITOR_X,11,2
HCP001,2026-01-31,PRODUCT_A,12,3
HCP001,2026-01-31,COMPETITOR_X,12,3
HCP002,2026-01-31,PRODUCT_A,11,0
HCP002,2026-01-31,COMPETITOR_X,19,1
HCP003,2026-01-31,PRODUCT_A,3,3
HCP003,2026-01-31,COMPETITOR_X,15,2
HCP004,2026-01-31,PRODUCT_A,14,1
HCP004,2026-01-31,COMPETITOR_X,13,3
HCP005,2026-01-31,PRODUCT_A,8,0
HCP005,2026-01-31,COMPETITOR_X,8,4
HCP006,2026-01-31,PRODUCT_A,9,4
HCP006,2026-01-31,COMPETITOR_X,12,4
HCP007,2026-01-31,PRODUCT_A,8,2
HCP007,2026-01-31,COMPETITOR_X,9,3
HCP008,2026-01-31,PRODUCT_A,10,5
HCP008,2026-01-31,COMPETITOR_X,11,3
HCP009,2026-01-31,PRODUCT_A,8,2
HCP009,2026-01-31,COMPETITOR_X,15,0
HCP010,2026-01-31,PRODUCT_A,9,4
HCP010,2026-01-31,COMPETITOR_X,15,2
HCP001,2026-02-07,PRODUCT_A,9,5
HCP001,2026-02-07,COMPETITOR_X,9,1
HCP002,2026-02-07,PRODUCT_A,9,4
HCP002,2026-02-07,COMPETITOR_X,5,0
HCP003,2026-02-07,PRODUCT_A,5,3
HCP003,2026-02-07,COMPETITOR_X,7,3
HCP004,2026-02-07,PRODUCT_A,7,4
HCP004,2026-02-07,COMPETITOR_X,13,3
HCP005,2026-02-07,PRODUCT_A,6,2
HCP005,2026-02-07,COMPETITOR_X,15,3
HCP006,2026-02-07,PRODUCT_A,8,1
HCP006,2026-02-07,COMPETITOR_X,11,4
HCP007,2026-02-07,PRODUCT_A,12,5
HCP007,2026-02-07,COMPETITOR_X,17,5
HCP008,2026-02-07,PRODUCT_A,8,2
HCP008,2026-02-07,COMPETITOR_X,8,1
HCP009,2026-02-07,PRODUCT_A,5,3
HCP009,2026-02-07,COMPETITOR_X,14,2
HCP010,2026-02-07,PRODUCT_A,7,3
HCP010,2026-02-07,COMPETITOR_X,16,2
HCP001,2026-02-14,PRODUCT_A,13,2
HCP001,2026-02-14,COMPETITOR_X,16,2
HCP002,2026-02-14,PRODUCT_A,10,5
HCP002,2026-02-14,COMPETITOR_X,9,3
HCP003,2026-02-14,PRODUCT_A,12,5
HCP003,2026-02-14,COMPETITOR_X,13,6
HCP004,2026-02-14,PRODUCT_A,10,3
HCP004,2026-02-14,COMPETITOR_X,9,1
HCP005,2026-02-14,PRODUCT_A,8,5
HCP005,2026-02-14,COMPETITOR_X,10,2
HCP006,2026-02-14,PRODUCT_A,6,2
HCP006,2026-02-14,COMPETITOR_X,9,2
HCP007,2026-02-14,PRODUCT_A,6,1
HCP007,2026-02-14,COMPETITOR_X,20,2
HCP008,2026-02-14,PRODUCT_A,7,4
HCP008,2026-02-14,COMPETITOR_X,18,1
HCP009,2026-02-14,PRODUCT_A,10,1
HCP009,2026-02-14,COMPETITOR_X,7,2
HCP010,2026-02-14,PRODUCT_A,5,3
HCP010,2026-02-14,COMPETITOR_X,23,3
HCP001,2026-02-21,PRODUCT_A,3,2
HCP001,2026-02-21,COMPETITOR_X,12,3
HCP002,2026-02-21,PRODUCT_A,11,1
HCP002,2026-02-21,COMPETITOR_X,16,1
HCP003,2026-02-21,PRODUCT_A,8,3
HCP003,2026-02-21,COMPETITOR_X,15,3
HCP004,2026-02-21,PRODUCT_A,4,3
HCP004,2026-02-21,COMPETITOR_X,16,2
HCP005,2026-02-21,PRODUCT_A,10,5
HCP005,2026-02-21,COMPETITOR_X,14,1
HCP006,2026-02-21,PRODUCT_A,8,3
HCP006,2026-02-21,COMPETITOR_X,13,0
HCP007,2026-02-21,PRODUCT_A,12,5
HCP007,2026-02-21,COMPETITOR_X,8,4
HCP008,2026-02-21,PRODUCT_A,10,1
HCP008,2026-02-21,COMPETITOR_X,10,2
HCP009,2026-02-21,PRODUCT_A,8,3
HCP009,2026-02-21,COMPETITOR_X,10,5
HCP010,2026-02-21,PRODUCT_A,11,0
HCP010,2026-02-21,COMPETITOR_X,9,1
HCP001,2026-02-28,PRODUCT_A,7,2
HCP001,2026-02-28,COMPETITOR_X,16,1
HCP002,2026-02-28,PRODUCT_A,7,2
HCP002,2026-02-28,COMPETITOR_X,14,6
HCP003,2026-02-28,PRODUCT_A,10,3
HCP003,2026-02-28,COMPETITOR_X,11,2
HCP004,2026-02-28,PRODUCT_A,11,0
HCP004,2026-02-28,COMPETITOR_X,8,6
HCP005,2026-02-28,PRODUCT_A,11,3
HCP005,2026-02-28,COMPETITOR_X,13,5
HCP006,2026-02-28,PRODUCT_A,7,4
HCP006,2026-02-28,COMPETITOR_X,14,3
HCP007,2026-02-28,PRODUCT_A,11,5
HCP007,2026-02-28,COMPETITOR_X,11,1
HCP008,2026-02-28,PRODUCT_A,6,3
HCP008,2026-02-28,COMPETITOR_X,13,4
HCP009,2026-02-28,PRODUCT_A,11,3
HCP009,2026-02-28,COMPETITOR_X,11,0
HCP010,2026-02-28,PRODUCT_A,9,2
HCP010,2026-02-28,COMPETITOR_X,7,3
HCP001,2026-03-07,PRODUCT_A,5,2
HCP001,2026-03-07,COMPETITOR_X,6,2
HCP002,2026-03-07,PRODUCT_A,6,5
HCP002,2026-03-07,COMPETITOR_X,13,3
HCP003,2026-03-07,PRODUCT_A,9,4
HCP003,2026-03-07,COMPETITOR_X,14,3
HCP004,2026-03-07,PRODUCT_A,5,5
HCP004,2026-03-07,COMPETITOR_X,10,4
HCP005,2026-03-07,PRODUCT_A,14,5
HCP005,2026-03-07,COMPETITOR_X,10,2
HCP006,2026-03-07,PRODUCT_A,10,1
HCP006,2026-03-07,COMPETITOR_X,18,3
HCP007,2026-03-07,PRODUCT_A,5,5
HCP007,2026-03-07,COMPETITOR_X,12,5
HCP008,2026-03-07,PRODUCT_A,9,3
HCP008,2026-03-07,COMPETITOR_X,12,1
HCP009,2026-03-07,PRODUCT_A,8,1
HCP009,2026-03-07,COMPETITOR_X,14,3
HCP010,2026-03-07,PRODUCT_A,5,1
HCP010,2026-03-07,COMPETITOR_X,7,3
HCP001,2026-03-14,PRODUCT_A,4,3
HCP001,2026-03-14,COMPETITOR_X,13,1
HCP002,2026-03-14,PRODUCT_A,7,3
HCP002,2026-03-14,COMPETITOR_X,13,1
HCP003,2026-03-14,PRODUCT_A,6,0
HCP003,2026-03-14,COMPETITOR_X,13,2
HCP004,2026-03-14,PRODUCT_A,10,2
HCP004,2026-03-14,COMPETITOR_X,11,1
HCP005,2026-03-14,PRODUCT_A,13,5
HCP005,2026-03-14,COMPETITOR_X,8,4
HCP006,2026-03-14,PRODUCT_A,6,0
HCP006,2026-03-14,COMPETITOR_X,14,4
HCP007,2026-03-14,PRODUCT_A,10,5
HCP007,2026-03-14,COMPETITOR_X,17,1
HCP008,2026-03-14,PRODUCT_A,9,1
HCP008,2026-03-14,COMPETITOR_X,10,5
HCP009,2026-03-14,PRODUCT_A,9,2
HCP009,2026-03-14,COMPETITOR_X,12,2
HCP010,2026-03-14,PRODUCT_A,8,2
HCP010,2026-03-14,COMPETITOR_X,12,4
HCP001,2026-03-21,PRODUCT_A,13,4
HCP001,2026-03-21,COMPETITOR_X,14,3
HCP002,2026-03-21,PRODUCT_A,7,0
HCP002,2026-03-21,COMPETITOR_X,18,4
HCP003,2026-03-21,PRODUCT_A,5,2
HCP003,2026-03-21,COMPETITOR_X,12,3
HCP004,2026-03-21,PRODUCT_A,6,3
HCP004,2026-03-21,COMPETITOR_X,11,2
HCP005,2026-03-21,PRODUCT_A,9,4
HCP005,2026-03-21,COMPETITOR_X,16,3
HCP006,2026-03-21,PRODUCT_A,3,3
HCP006,2026-03-21,COMPETITOR_X,12,2
HCP007,2026-03-21,PRODUCT_A,7,1
HCP007,2026-03-21,COMPETITOR_X,11,3
HCP008,2026-03-21,PRODUCT_A,4,1
HCP008,2026-03-21,COMPETITOR_X,7,5
HCP009,2026-03-21,PRODUCT_A,4,3
HCP009,2026-03-21,COMPETITOR_X,9,4
HCP010,2026-03-21,PRODUCT_A,7,6
HCP010,2026-03-21,COMPETITOR_X,11,4
HCP001,2026-03-28,PRODUCT_A,4,3
HCP001,2026-03-28,COMPETITOR_X,10,4
HCP002,2026-03-28,PRODUCT_A,6,4
HCP002,2026-03-28,COMPETITOR_X,14,3
HCP003,2026-03-28,PRODUCT_A,6,4
HCP003,2026-03-28,COMPETITOR_X,10,1
HCP004,2026-03-28,PRODUCT_A,5,1
HCP004,2026-03-28,COMPETITOR_X,11,3
HCP005,2026-03-28,PRODUCT_A,7,3
HCP005,2026-03-28,COMPETITOR_X,10,4
HCP006,2026-03-28,PRODUCT_A,8,4
HCP006,2026-03-28,COMPETITOR_X,11,1
HCP007,2026-03-28,PRODUCT_A,12,3
HCP007,2026-03-28,COMPETITOR_X,5,2
HCP008,2026-03-28,PRODUCT_A,8,0
HCP008,2026-03-28,COMPETITOR_X,15,2
HCP009,2026-03-28,PRODUCT_A,5,4
HCP009,2026-03-28,COMPETITOR_X,10,1
HCP010,2026-03-28,PRODUCT_A,4,4
HCP010,2026-03-28,COMPETITOR_X,6,1
HCP001,2026-04-04,PRODUCT_A,10,1
HCP001,2026-04-04,COMPETITOR_X,16,0
HCP002,2026-04-04,PRODUCT_A,4,3
HCP002,2026-04-04,COMPETITOR_X,17,1
HCP003,2026-04-04,PRODUCT_A,13,3
HCP003,2026-04-04,COMPETITOR_X,9,2
HCP004,2026-04-04,PRODUCT_A,8,2
HCP004,2026-04-04,COMPETITOR_X,11,2
HCP005,2026-04-04,PRODUCT_A,8,2
HCP005,2026-04-04,COMPETITOR_X,14,4
HCP006,2026-04-04,PRODUCT_A,4,2
HCP006,2026-04-04,COMPETITOR_X,11,5
HCP007,2026-04-04,PRODUCT_A,8,8
HCP007,2026-04-04,COMPETITOR_X,5,4
HCP008,2026-04-04,PRODUCT_A,7,1
HCP008,2026-04-04,COMPETITOR_X,12,2
HCP009,2026-04-04,PRODUCT_A,9,3
HCP009,2026-04-04,COMPETITOR_X,10,3
HCP010,2026-04-04,PRODUCT_A,7,4
HCP010,2026-04-04,COMPETITOR_X,13,6
HCP001,2026-04-11,PRODUCT_A,7,4
HCP001,2026-04-11,COMPETITOR_X,14,3
HCP002,2026-04-11,PRODUCT_A,17,1
HCP002,2026-04-11,COMPETITOR_X,11,1
HCP003,2026-04-11,PRODUCT_A,11,0
HCP003,2026-04-11,COMPETITOR_X,10,3
HCP004,2026-04-11,PRODUCT_A,10,4
HCP004,2026-04-11,COMPETITOR_X,12,4
HCP005,2026-04-11,PRODUCT_A,14,4
HCP005,2026-04-11,COMPETITOR_X,10,2
HCP006,2026-04-11,PRODUCT_A,9,4
HCP006,2026-04-11,COMPETITOR_X,9,2
HCP007,2026-04-11,PRODUCT_A,7,4
HCP007,2026-04-11,COMPETITOR_X,8,3
HCP008,2026-04-11,PRODUCT_A,9,6
HCP008,2026-04-11,COMPETITOR_X,8,3
HCP009,2026-04-11,PRODUCT_A,5,3
HCP009,2026-04-11,COMPETITOR_X,15,5
HCP010,2026-04-11,PRODUCT_A,13,8
HCP010,2026-04-11,COMPETITOR_X,10,2
HCP001,2026-04-18,PRODUCT_A,6,3
HCP001,2026-04-18,COMPETITOR_X,12,4
HCP002,2026-04-18,PRODUCT_A,10,3
HCP002,2026-04-18,COMPETITOR_X,9,4
HCP003,2026-04-18,PRODUCT_A,7,2
HCP003,2026-04-18,COMPETITOR_X,11,2
HCP004,2026-04-18,PRODUCT_A,11,2
HCP004,2026-04-18,COMPETITOR_X,16,3
HCP005,2026-04-18,PRODUCT_A,10,1
HCP005,2026-04-18,COMPETITOR_X,10,2
HCP006,2026-04-18,PRODUCT_A,8,2
HCP006,2026-04-18,COMPETITOR_X,17,3
HCP007,2026-04-18,PRODUCT_A,12,6
HCP007,2026-04-18,COMPETITOR_X,10,1
HCP008,2026-04-18,PRODUCT_A,11,4
HCP008,2026-04-18,COMPETITOR_X,9,3
HCP009,2026-04-18,PRODUCT_A,8,2
HCP009,2026-04-18,COMPETITOR_X,10,6
HCP010,2026-04-18,PRODUCT_A,4,2
HCP010,2026-04-18,COMPETITOR_X,11,1
HCP001,2026-04-25,PRODUCT_A,13,3
HCP001,2026-04-25,COMPETITOR_X,6,5
HCP002,2026-04-25,PRODUCT_A,7,4
HCP002,2026-04-25,COMPETITOR_X,9,7
HCP003,2026-04-25,PRODUCT_A,7,4
HCP003,2026-04-25,COMPETITOR_X,11,0
HCP004,2026-04-25,PRODUCT_A,6,4
HCP004,2026-04-25,COMPETITOR_X,9,2
HCP005,2026-04-25,PRODUCT_A,9,5
HCP005,2026-04-25,COMPETITOR_X,7,5
HCP006,2026-04-25,PRODUCT_A,6,6
HCP006,2026-04-25,COMPETITOR_X,13,0
HCP007,2026-04-25,PRODUCT_A,5,0
HCP007,2026-04-25,COMPETITOR_X,10,3
HCP008,2026-04-25,PRODUCT_A,7,6
HCP008,2026-04-25,COMPETITOR_X,13,5
HCP009,2026-04-25,PRODUCT_A,16,5
HCP009,2026-04-25,COMPETITOR_X,14,5
HCP010,2026-04-25,PRODUCT_A,9,3
HCP010,2026-04-25,COMPETITOR_X,10,1
HCP001,2026-05-02,PRODUCT_A,11,2
HCP001,2026-05-02,COMPETITOR_X,12,2
HCP002,2026-05-02,PRODUCT_A,9,0
HCP002,2026-05-02,COMPETITOR_X,9,2
HCP003,2026-05-02,PRODUCT_A,5,3
HCP003,2026-05-02,COMPETITOR_X,9,3
HCP004,2026-05-02,PRODUCT_A,7,5
HCP004,2026-05-02,COMPETITOR_X,18,2
HCP005,2026-05-02,PRODUCT_A,12,1
HCP005,2026-05-02,COMPETITOR_X,15,3
HCP006,2026-05-02,PRODUCT_A,8,3
HCP006,2026-05-02,COMPETITOR_X,17,2
HCP007,2026-05-02,PRODUCT_A,9,4
HCP007,2026-05-02,COMPETITOR_X,11,0
HCP008,2026-05-02,PRODUCT_A,9,4
HCP008,2026-05-02,COMPETITOR_X,9,2
HCP009,2026-05-02,PRODUCT_A,10,3
HCP009,2026-05-02,COMPETITOR_X,13,5
HCP010,2026-05-02,PRODUCT_A,8,4
HCP010,2026-05-02,COMPETITOR_X,10,2
HCP001,2026-05-09,PRODUCT_A,11,3
HCP001,2026-05-09,COMPETITOR_X,14,2
HCP002,2026-05-09,PRODUCT_A,7,2
HCP002,2026-05-09,COMPETITOR_X,11,2
HCP003,2026-05-09,PRODUCT_A,9,6
HCP003,2026-05-09,COMPETITOR_X,15,3
HCP004,2026-05-09,PRODUCT_A,7,1
HCP004,2026-05-09,COMPETITOR_X,10,1
HCP005,2026-05-09,PRODUCT_A,6,6
HCP005,2026-05-09,COMPETITOR_X,12,6
HCP006,2026-05-09,PRODUCT_A,6,3
HCP006,2026-05-09,COMPETITOR_X,16,4
HCP007,2026-05-09,PRODUCT_A,6,2
HCP007,2026-05-09,COMPETITOR_X,24,1
HCP008,2026-05-09,PRODUCT_A,10,3
HCP008,2026-05-09,COMPETITOR_X,8,3
HCP009,2026-05-09,PRODUCT_A,7,3
HCP009,2026-05-09,COMPETITOR_X,16,3
HCP010,2026-05-09,PRODUCT_A,15,1
HCP010,2026-05-09,COMPETITOR_X,13,2
HCP001,2026-05-16,PRODUCT_A,5,3
HCP001,2026-05-16,COMPETITOR_X,12,2
HCP002,2026-05-16,PRODUCT_A,8,2
HCP002,2026-05-16,COMPETITOR_X,14,1
HCP003,2026-05-16,PRODUCT_A,7,5
HCP003,2026-05-16,COMPETITOR_X,9,3
HCP004,2026-05-16,PRODUCT_A,5,1
HCP004,2026-05-16,COMPETITOR_X,12,2
HCP005,2026-05-16,PRODUCT_A,6,3
HCP005,2026-05-16,COMPETITOR_X,13,2
HCP006,2026-05-16,PRODUCT_A,8,3
HCP006,2026-05-16,COMPETITOR_X,11,6
HCP007,2026-05-16,PRODUCT_A,2,2
HCP007,2026-05-16,COMPETITOR_X,8,1
HCP008,2026-05-16,PRODUCT_A,8,4
HCP008,2026-05-16,COMPETITOR_X,15,5
HCP009,2026-05-16,PRODUCT_A,7,6
HCP009,2026-05-16,COMPETITOR_X,12,4
HCP010,2026-05-16,PRODUCT_A,2,2
HCP010,2026-05-16,COMPETITOR_X,14,2
