WEEK_ENDING,UC,CD,TREMFYA_TRx_total
2025-10-31,1879.986268,1844.185961,3724.172228597248
2025-11-07,2848.864217,2056.587609,4905.451826233938
2025-11-14,975.996975,704.569657,1680.566632456586
2025-11-21,2111.854744,1524.542402,3636.397146114727
2025-11-28,876.944603,633.06401,1510.008613094531
2025-12-05,1523.313234,1425.412497,2948.7257305633434
2025-12-12,3301.463111,3089.283722,6390.746833137678
2025-12-19,1776.108231,1661.960792,3438.0690234624817
2025-12-26,947.980305,887.055232,1835.0355364970053
2026-01-02,1788.208357,1957.397297,3745.605654455834
2026-01-09,2687.526089,2941.802773,5629.32886139133
2026-01-16,3185.645281,3487.050846,6672.696127514912
2026-01-23,2835.356365,3103.619813,5938.976177556207
2026-01-30,878.246216,961.340306,1839.5865216332647
2026-02-06,2018.291477,1760.566775,3778.8582519726992
2026-02-13,4247.809773,3705.387869,7953.197641829987
2026-02-20,1735.38746,1513.788042,3249.1755017473647
2026-02-27,4267.502116,3722.565608,7990.067723533686
2026-03-06,2911.321345,3795.285526,6706.606870388604
2026-03-13,1608.714272,2097.16801,3705.882281525842
2026-03-20,3012.083264,3926.641776,6938.725039942871
2026-03-27,1973.974147,2573.331701,4547.305847391041
2026-04-03,1800.290277,2775.486507,4575.776784514984
2026-04-10,1991.345603,3070.034273,5061.379875744029
2026-04-17,2817.087775,4343.071342,7160.159116549775
2026-04-24,3438.475227,5301.057124,8739.532351198142
2026-05-01,3659.710285,3252.865812,6912.576097175405
2026-05-08,5990.868666,5324.872832,11315.741498158372
2026-05-15,2824.236442,2510.270337,5334.506778880816
2026-05-22,5350.374612,4755.581536,10105.956147637327
2026-05-29,4272.880764,3797.871054,8070.75181757544
2026-06-05,2315.475173,3268.107341,5583.582514071699
2026-06-12,4617.655772,6517.450458,11135.106229966044
2026-06-19,4705.895659,6641.993976,11347.889635362795
2026-06-26,3188.94795,4500.944051,7689.892001148728
2026-07-03,2206.266718,3018.727905,5224.994622585515
2026-07-10,4990.520363,6828.287331,11818.807693497449
2026-07-17,2362.00759,3231.820597,5593.828187269517
2026-07-24,2614.008207,3576.620837,6190.629043896278
2026-07-31,3671.263295,5023.211774,8694.475069334927
2026-08-07,4581.279728,5442.381277,10023.661004936152
2026-08-14,2254.548452,2678.315451,4932.863902587963
2026-08-21,4469.937836,5310.111461,9780.049296809088
2026-08-28,3760.664502,4467.522459,8228.186960812312
2026-09-04,3835.877792,4556.872908,8392.7507
2026-09-11,3912.595348,4648.010366,8560.605714
2026-09-18,3990.847255,4740.970573,8731.817828
2026-09-25,4070.6642,4835.789985,8906.454185
